,countries,cases,todays,deaths,recovered,active
0,World,"28,371,526","+53,561","914,550","20,370,237","7,086,739"
1,USA,"6,589,020",+857,"196,345","3,880,707","2,511,968"
2,India,"4,568,770","+9,045","76,348","3,544,794","947,628"
3,Brazil,"4,239,763",,"129,575","3,497,337","612,851"
4,Russia,"1,051,874","+5,504","18,365","868,107","165,402"
5,Peru,"710,067",,"30,344","544,745","134,978"
6,Colombia,"694,664",,"22,275","569,479","102,910"
7,Mexico,"652,364","+4,857","69,649","458,850","123,865"
8,South Africa,"644,438",,"15,265","573,003","56,170"
9,Spain,"554,143",,"29,699",N/A,N/A
10,Argentina,"524,198",,"10,907","390,098","123,193"
11,Chile,"428,669",,"11,781","401,356","15,532"
12,Iran,"397,801","+2,313","22,913","342,539","32,349"
13,UK,"358,138",,"41,608",N/A,N/A
14,France,"353,944",,"30,813","88,742","234,389"
15,Bangladesh,"334,762","+1,792","4,668","236,024","94,070"
16,Saudi Arabia,"324,407",+687,"4,213","300,933","19,261"
17,Pakistan,"300,371",+516,"6,370","288,206","5,795"
18,Turkey,"286,455",,"6,895","255,407","24,153"
19,Italy,"283,180",,"35,587","211,885","35,708"
20,Iraq,"278,418",,"7,814","213,817","56,787"
21,Germany,"258,125",+18,"9,419","233,300","15,406"
22,Philippines,"252,964","+4,040","4,108","186,606","62,250"
23,Indonesia,"210,940","+3,737","8,544","150,217","52,179"
24,Ukraine,"148,756","+3,144","3,076","67,005","78,675"
25,Israel,"147,379","+1,853","1,086","111,556","34,737"
26,Canada,"134,924",,"9,163","118,990","6,771"
27,Bolivia,"124,205",+860,"7,193","79,483","37,529"
28,Qatar,"121,287",+235,205,"118,199","2,883"
29,Ecuador,"113,206",,"10,749","91,242","11,215"
30,Kazakhstan,"106,661",+77,"1,634","100,409","4,618"
31,Dominican Republic,"101,716",,"1,926","75,034","24,756"
32,Romania,"101,075","+1,391","4,100","41,010","55,965"
33,Egypt,"100,557",,"5,590","81,597","13,370"
34,Panama,"99,715",,"2,127","72,203","25,385"
35,Kuwait,"93,475",+653,557,"83,660","9,258"
36,Belgium,"90,568",+877,"9,917","18,659","61,992"
37,Oman,"88,337",,762,"83,325","4,250"
38,Sweden,"86,505",,"5,846",N/A,N/A
39,Guatemala,"80,306",,"2,918","68,927","8,461"
40,Netherlands,"79,781","+1,270","6,252",N/A,N/A
41,Morocco,"79,767",,"1,491","61,850","16,426"
42,UAE,"77,842",+931,398,"68,462","8,982"
43,Belarus,"73,591",,732,"72,203",656
44,Japan,"73,221",,"1,406","64,835","6,980"
45,Poland,"73,047",+594,"2,169","58,848","12,030"
46,Honduras,"65,802",+205,"2,049","15,577","48,176"
47,Ethiopia,"62,578",,974,"23,640","37,964"
48,Portugal,"62,126",,"1,852","43,441","16,833"
49,Bahrain,"58,207",,208,"52,284","5,715"
50,Venezuela,"57,823",,460,"46,125","11,238"
51,Singapore,"57,316",+87,27,"56,558",731
52,Nigeria,"55,829",,"1,075","43,810","10,944"
53,Costa Rica,"52,549",,567,"20,322","31,660"
54,Nepal,"51,919","+1,454",322,"36,672","14,925"
55,Algeria,"47,488",,"1,591","33,562","12,335"
56,Switzerland,"46,239",+528,"2,020","38,100","6,119"
57,Uzbekistan,"46,160",+687,377,"42,857","2,926"
58,Armenia,"45,503",+177,909,"41,434","3,160"
59,Ghana,"45,388",+75,285,"44,267",836
